,name,age,study,skills,professional interests,private interests,social skills,vote
72,Santiago Rivera,18,Electronics engineering,"Mastery in microelectronics, electrical drives, wireless communications, embedded AI, and sustainable solutions.","Digital health devices, electric vehicle development, intelligent energy systems, IoT advancements, quantum computing integration.","Molecular cooking, ultra-marathon in extreme terrains, vintage computing, urban exploration, astronomy and astrophotography.","Strong in team collaboration and communication, curious with a knack for deep questions, adaptable, perfectionist with a blend of humor and empathy.",B
73,Aisha Al-Khalifa,19,Information technologies,"Proficient in software dev, network infrastructures, database management, cyber security, and computing theories.","Sustainable computing, digital archaeology tech, autonomous space exploration systems, AR for wildlife, wearable pet tech.","VR ancient civilization exploration, puzzle competitions, eco-friendly gadget blogging, aeroponic gardening, electronic music composition.","Effective in team collaboration, empathetic, analytical in social contexts, strong communicator, focused on data with room for emotional considerations.",B
74,Dae-jung Kim,22,Machine technologies,"Proficient in Maths & Physics, mechanics, fluid dynamics, thermodynamics. Knows material science for sports/medical innovations. Skilled in measurement/control tech and project-based learning.","Sustainable energy solutions, humanitarian engineering, educational/domestic robotics, environmental conservation tech, community tech projects.","Diverse cuisine exploration, rock climbing, digital art with GANs, animal welfare, language learning.","Skilled communicator and team player, highly adaptable, creative problem solver, empathetic but occasionally too absorbed in details.",B
75,Lerato Mokoena,19,Machine technologies,"Proficient in Maths & Physics, mechanics, fluid dynamics, thermodynamics. Knows material science for sports/medical innovations. Skilled in measurement/control tech and project-based learning.","Sustainable energy solutions, humanitarian engineering, educational/domestic robotics, environmental conservation tech, community tech projects.","Outdoor adventures, DIY creativity, environmental volunteering, team sports, arts and crafts.","Effective in team collaboration, empathetic, analytical in social contexts, strong communicator, focused on data with room for emotional considerations.",B
76,Giulia Rossi,21,Machine technologies,"Proficient in Maths & Physics, mechanics, fluid dynamics, thermodynamics. Knows material science for sports/medical innovations. Skilled in measurement/control tech and project-based learning.","Sustainable energy solutions, humanitarian engineering, educational/domestic robotics, environmental conservation tech, community tech projects.","Hiking, camping, crafting, travel for technology insights, sustainable cooking.","Excellent in teamwork, clear communicator of complex concepts, highly empathetic, adaptable, prefers dynamic environments over routine tasks.",B
77,Hiroshi Nakamura,21,Electronics engineering,"Mastery in microelectronics, electrical drives, wireless communications, embedded AI, and sustainable solutions.","Digital health devices, electric vehicle development, intelligent energy systems, IoT advancements, quantum computing integration.","DIY projects, outdoor activities, volunteering, global travel, art and design inspiration.","Effective in team collaboration, empathetic, analytical in social contexts, strong communicator, focused on data with room for emotional considerations.",B
78,Zara Khan,24,Industrial engineering,"Mastery in business/engineering integration, process optimization, innovative design, data analytics, and tech integration.","Green manufacturing tech, AI ethics, space mission logistics, VR process simulation, renewable energy in industry.","Music production, environmental advocacy, rock climbing, VR gaming, culinary fusion.","Strong in team collaboration and communication, curious with a knack for deep questions, adaptable, perfectionist with a blend of humor and empathy.",A
79,Carlos Jimenez,21,Industrial engineering,"Mastery in business/engineering integration, process optimization, innovative design, data analytics, and tech integration.","Green manufacturing tech, AI ethics, space mission logistics, VR process simulation, renewable energy in industry.","DIY projects, outdoor activities, volunteering, global travel, art and design inspiration.","Skilled in translating technical concepts, prone to over-analysis, empathetic in teams, inventive problem solver, strong but sometimes overwhelmed online community manager.",A
80,Sinead O'Reilly,24,Machine technologies,"Proficient in Maths & Physics, mechanics, fluid dynamics, thermodynamics. Knows material science for sports/medical innovations. Skilled in measurement/control tech and project-based learning.","Sustainable energy solutions, humanitarian engineering, educational/domestic robotics, environmental conservation tech, community tech projects.","Ultra-marathon, animal rescue volunteering, digital art, craft beer homebrewing, tabletop RPG world-building.","Excellent in teamwork, clear communicator of complex concepts, highly empathetic, adaptable, prefers dynamic environments over routine tasks.",B
81,Andrei Popov,21,Machine technologies,"Proficient in Maths & Physics, mechanics, fluid dynamics, thermodynamics. Knows material science for sports/medical innovations. Skilled in measurement/control tech and project-based learning.","Sustainable energy solutions, humanitarian engineering, educational/domestic robotics, environmental conservation tech, community tech projects.","DIY projects, outdoor activities, volunteering, global travel, art and design inspiration.","Effective in team collaboration, empathetic, analytical in social contexts, strong communicator, focused on data with room for emotional considerations.",B
82,Laila El-Fouly,22,Electronics engineering,"Mastery in microelectronics, electrical drives, wireless communications, embedded AI, and sustainable solutions.","Digital health devices, electric vehicle development, intelligent energy systems, IoT advancements, quantum computing integration.","Molecular gastronomy, digital urban exploration, competitive robotics, interactive digital art, conlangs for programming.","Strong in team collaboration and communication, curious with a knack for deep questions, adaptable, perfectionist with a blend of humor and empathy.",B
83,Raj Patel,25,Information technologies,"Proficient in software dev, network infrastructures, database management, cyber security, and computing theories.","Sustainable computing, digital archaeology tech, autonomous space exploration systems, AR for wildlife, wearable pet tech.","DIY projects, outdoor activities, volunteering, global travel, art and design inspiration.","Skilled communicator and team player, highly adaptable, creative problem solver, empathetic but occasionally too absorbed in details.",B
84,Noah Schwartz,24,Data science,"Proficient in Python/R, statistical models, machine learning, data visualization tools, and ethical data practices.","AI for environmental conservation, data visualization tools, blockchain for big data, neural networks in healthcare, VR in data science education.","Outdoor adventures, DIY creativity, environmental volunteering, team sports, arts and crafts.","Effective in team collaboration, empathetic, analytical in social contexts, strong communicator, focused on data with room for emotional considerations.",B
85,Hanna Björk,20,Industrial engineering,"Mastery in business/engineering integration, process optimization, innovative design, data analytics, and tech integration.","Green manufacturing tech, AI ethics, space mission logistics, VR process simulation, renewable energy in industry.","Outdoor adventures, DIY creativity, environmental volunteering, team sports, arts and crafts.","Strong in team collaboration and communication, curious with a knack for deep questions, adaptable, perfectionist with a blend of humor and empathy.",B
86,Olivia Chen,23,Industrial engineering,"Mastery in business/engineering integration, process optimization, innovative design, data analytics, and tech integration.","Green manufacturing tech, AI ethics, space mission logistics, VR process simulation, renewable energy in industry.","Molecular cooking, ultra-marathon in extreme terrains, vintage computing, urban exploration, astronomy and astrophotography.","Excellent listener, skilled in simple technical communication, empathetic in one-on-one interactions, creative but cautious in idea sharing, prefers small groups.",B
87,Diego Alvarez,18,Data science,"Proficient in Python/R, statistical models, machine learning, data visualization tools, and ethical data practices.","AI for environmental conservation, data visualization tools, blockchain for big data, neural networks in healthcare, VR in data science education.","Adventure sports with tech, DIY electronics, tech expos, music production, environmental activism.","Empathetic, effective in teamwork and communication, adaptable with a democratic leadership style, occasionally struggles with focus and delegation.",A
88,Priya Gupta,21,Information technologies,"Proficient in software dev, network infrastructures, database management, cyber security, and computing theories.","Sustainable computing, digital archaeology tech, autonomous space exploration systems, AR for wildlife, wearable pet tech.","Diverse cuisine exploration, rock climbing, digital art with GANs, animal welfare, language learning.","Excellent listener, skilled in simple technical communication, empathetic in one-on-one interactions, creative but cautious in idea sharing, prefers small groups.",B
89,Abdul Rahman Al-Sulaimi,19,Data science,"Proficient in Python/R, statistical models, machine learning, data visualization tools, and ethical data practices.","AI for environmental conservation, data visualization tools, blockchain for big data, neural networks in healthcare, VR in data science education.","Music production, environmental advocacy, rock climbing, VR gaming, culinary fusion.","Skilled communicator and team player, analytical in social situations, curious and open-minded, approaches interpersonal conflicts as puzzles.",A
90,Yuki Tanaka,25,Industrial engineering,"Mastery in business/engineering integration, process optimization, innovative design, data analytics, and tech integration.","Green manufacturing tech, AI ethics, space mission logistics, VR process simulation, renewable energy in industry.","DIY projects, outdoor activities, volunteering, global travel, art and design inspiration.","Empathetic, effective in teamwork and communication, adaptable with a democratic leadership style, occasionally struggles with focus and delegation.",B
91,Natalia Vargas,21,Industrial engineering,"Mastery in business/engineering integration, process optimization, innovative design, data analytics, and tech integration.","Green manufacturing tech, AI ethics, space mission logistics, VR process simulation, renewable energy in industry.","DIY projects, outdoor activities, volunteering, global travel, art and design inspiration.","Skilled communicator and team player, analytical in social situations, curious and open-minded, approaches interpersonal conflicts as puzzles.",B
92,Ibrahim El-Shamy,19,Information technologies,"Proficient in software dev, network infrastructures, database management, cyber security, and computing theories.","Sustainable computing, digital archaeology tech, autonomous space exploration systems, AR for wildlife, wearable pet tech.","Hiking, camping, crafting, travel for technology insights, sustainable cooking.","Empathetic listener, detail-oriented, reserved nature, prefers meaningful conversations over small talk, creative problem solver using introversion as a strength.",A
93,Juliette Bernard,23,Information technologies,"Proficient in software dev, network infrastructures, database management, cyber security, and computing theories.","Sustainable computing, digital archaeology tech, autonomous space exploration systems, AR for wildlife, wearable pet tech.","VR ancient civilization exploration, puzzle competitions, eco-friendly gadget blogging, aeroponic gardening, electronic music composition.","Strong in team collaboration, adaptable, clear communicator, natural leader, highly empathetic with a balance of initiative and sensitivity.",B
94,Manuel Cortez,23,Information technologies,"Proficient in software dev, network infrastructures, database management, cyber security, and computing theories.","Sustainable computing, digital archaeology tech, autonomous space exploration systems, AR for wildlife, wearable pet tech.","Outdoor adventures, DIY creativity, environmental volunteering, team sports, arts and crafts.","Excellent listener, skilled in simple technical communication, empathetic in one-on-one interactions, creative but cautious in idea sharing, prefers small groups.",B
95,Anika Sharma,23,Industrial engineering,"Mastery in business/engineering integration, process optimization, innovative design, data analytics, and tech integration.","Green manufacturing tech, AI ethics, space mission logistics, VR process simulation, renewable energy in industry.","Music production, environmental advocacy, rock climbing, VR gaming, culinary fusion.","Strong in team collaboration, adaptable, clear communicator, natural leader, highly empathetic with a balance of initiative and sensitivity.",B
96,Bao Yu,19,Machine technologies,"Proficient in Maths & Physics, mechanics, fluid dynamics, thermodynamics. Knows material science for sports/medical innovations. Skilled in measurement/control tech and project-based learning.","Sustainable energy solutions, humanitarian engineering, educational/domestic robotics, environmental conservation tech, community tech projects.","Molecular cooking, ultra-marathon in extreme terrains, vintage computing, urban exploration, astronomy and astrophotography.","Strong in team collaboration, adaptable, clear communicator, natural leader, highly empathetic with a balance of initiative and sensitivity.",B
97,Caleb Mwangi,21,Industrial engineering,"Mastery in business/engineering integration, process optimization, innovative design, data analytics, and tech integration.","Green manufacturing tech, AI ethics, space mission logistics, VR process simulation, renewable energy in industry.","Mycology for sustainability, ultra-marathon, vintage keyboard restoration, experimental music, wildlife conservation tech.","Skilled communicator and team player, highly adaptable, creative problem solver, empathetic but occasionally too absorbed in details.",B
98,Sophie Müller,23,Data science,"Proficient in Python/R, statistical models, machine learning, data visualization tools, and ethical data practices.","AI for environmental conservation, data visualization tools, blockchain for big data, neural networks in healthcare, VR in data science education.","Adventure sports with tech, DIY electronics, tech expos, music production, environmental activism.","Empathetic, effective in teamwork and communication, adaptable with a democratic leadership style, occasionally struggles with focus and delegation.",A
99,Alejandra Espinoza,22,Machine technologies,"Proficient in Maths & Physics, mechanics, fluid dynamics, thermodynamics. Knows material science for sports/medical innovations. Skilled in measurement/control tech and project-based learning.","Sustainable energy solutions, humanitarian engineering, educational/domestic robotics, environmental conservation tech, community tech projects.","Diverse cuisine exploration, rock climbing, digital art with GANs, animal welfare, language learning.","Empathetic listener, detail-oriented, reserved nature, prefers meaningful conversations over small talk, creative problem solver using introversion as a strength.",B
